Geographic Area Name,Median Income
ZCTA5 02791,104712
ZCTA5 02802,125522
ZCTA5 02804,101392
ZCTA5 02806,150542
ZCTA5 02807,72450
ZCTA5 02808,94712
ZCTA5 02809,96005
ZCTA5 02812,111711
ZCTA5 02813,103147
ZCTA5 02814,109632
ZCTA5 02815,209050
ZCTA5 02816,97941
ZCTA5 02817,137485
ZCTA5 02818,120952
ZCTA5 02822,87185
ZCTA5 02823,
ZCTA5 02824,158438
ZCTA5 02825,110177
ZCTA5 02826,75347
ZCTA5 02827,135139
ZCTA5 02828,94746
ZCTA5 02829,
ZCTA5 02830,121611
ZCTA5 02831,135106
ZCTA5 02832,101225
ZCTA5 02833,
ZCTA5 02835,141442
ZCTA5 02836,
ZCTA5 02837,129750
ZCTA5 02838,82075
ZCTA5 02839,100906
ZCTA5 02840,83515
ZCTA5 02841,
ZCTA5 02842,97650
ZCTA5 02852,112457
ZCTA5 02857,108813
ZCTA5 02858,92016
ZCTA5 02859,118662
ZCTA5 02860,59954
ZCTA5 02861,83044
ZCTA5 02863,45921
ZCTA5 02864,118737
ZCTA5 02865,117042
ZCTA5 02871,119135
ZCTA5 02872,132969
ZCTA5 02873,
ZCTA5 02874,155099
ZCTA5 02875,88469
ZCTA5 02876,33008
ZCTA5 02878,99542
ZCTA5 02879,115848
ZCTA5 02881,
ZCTA5 02882,95794
ZCTA5 02885,89722
ZCTA5 02886,91037
ZCTA5 02888,88750
ZCTA5 02889,85617
ZCTA5 02891,90435
ZCTA5 02892,143534
ZCTA5 02893,73903
ZCTA5 02894,
ZCTA5 02895,58579
ZCTA5 02896,109436
ZCTA5 02898,124083
ZCTA5 02903,62987
ZCTA5 02904,64637
ZCTA5 02905,57126
ZCTA5 02906,102796
ZCTA5 02907,49564
ZCTA5 02908,74341
ZCTA5 02909,63950
ZCTA5 02910,85909
ZCTA5 02911,85803
ZCTA5 02912,
ZCTA5 02914,60838
ZCTA5 02915,90558
ZCTA5 02916,96293
ZCTA5 02917,106772
ZCTA5 02918,
ZCTA5 02919,87811
ZCTA5 02920,79246
ZCTA5 02921,135500
ZCTA5 03031,155125
ZCTA5 03032,146290
ZCTA5 03033,165942
ZCTA5 03034,122356
ZCTA5 03036,138606
ZCTA5 03037,126063
ZCTA5 03038,104306
ZCTA5 03042,101354
ZCTA5 03043,96094
ZCTA5 03044,125774
ZCTA5 03045,114965
ZCTA5 03046,134205
ZCTA5 03047,99038
ZCTA5 03048,90938
ZCTA5 03049,156140
ZCTA5 03051,124973
ZCTA5 03052,155881
ZCTA5 03053,132241
ZCTA5 03054,128897
ZCTA5 03055,94514
ZCTA5 03057,160250
ZCTA5 03060,78068
ZCTA5 03062,102849
ZCTA5 03063,106924
ZCTA5 03064,91528
ZCTA5 03070,151296
ZCTA5 03071,100417
ZCTA5 03076,126804
ZCTA5 03077,92002
ZCTA5 03079,101339
ZCTA5 03082,111016
ZCTA5 03084,86528
ZCTA5 03086,117732
ZCTA5 03087,189450
ZCTA5 03101,80483
ZCTA5 03102,69927
ZCTA5 03103,70049
ZCTA5 03104,84513
ZCTA5 03106,107137
ZCTA5 03109,108060
ZCTA5 03110,160253
ZCTA5 03215,103333
ZCTA5 03216,86875
ZCTA5 03217,54495
ZCTA5 03218,97669
ZCTA5 03220,78151
ZCTA5 03221,92083
ZCTA5 03222,78535
ZCTA5 03223,109801
ZCTA5 03224,117500
ZCTA5 03225,97109
ZCTA5 03226,119375
ZCTA5 03227,141083
ZCTA5 03229,130216
ZCTA5 03230,66458
ZCTA5 03231,141875
ZCTA5 03233,116875
ZCTA5 03234,92623
ZCTA5 03235,69921
ZCTA5 03237,107353
ZCTA5 03238,44350
ZCTA5 03240,72188
ZCTA5 03241,91528
ZCTA5 03242,87344
ZCTA5 03243,79750
ZCTA5 03244,93886
ZCTA5 03245,83958
ZCTA5 03246,68407
ZCTA5 03249,115423
ZCTA5 03251,65990
ZCTA5 03253,69808
ZCTA5 03254,93839
ZCTA5 03255,123167
ZCTA5 03256,83804
ZCTA5 03257,89750
ZCTA5 03258,111607
ZCTA5 03259,82024
ZCTA5 03260,116375
ZCTA5 03261,117841
ZCTA5 03262,72000
ZCTA5 03263,66823
ZCTA5 03264,75600
ZCTA5 03266,66964
ZCTA5 03268,105000
ZCTA5 03269,94821
ZCTA5 03273,183525
ZCTA5 03275,84776
ZCTA5 03276,79270
ZCTA5 03278,98333
ZCTA5 03279,61875
ZCTA5 03280,85250
ZCTA5 03281,115833
ZCTA5 03282,105000
ZCTA5 03284,111563
ZCTA5 03285,81094
ZCTA5 03287,115469
ZCTA5 03290,108459
ZCTA5 03291,
ZCTA5 03293,68125
ZCTA5 03301,85943
ZCTA5 03303,79688
ZCTA5 03304,161482
ZCTA5 03307,100141
ZCTA5 03431,78196
ZCTA5 03440,91094
ZCTA5 03441,
ZCTA5 03442,78071
ZCTA5 03443,
ZCTA5 03444,100938
ZCTA5 03445,95625
ZCTA5 03446,82326
ZCTA5 03447,91076
ZCTA5 03448,70833
ZCTA5 03449,88958
ZCTA5 03450,98611
ZCTA5 03451,68979
ZCTA5 03452,87527
ZCTA5 03455,74219
ZCTA5 03456,104605
ZCTA5 03457,90417
ZCTA5 03458,100189
ZCTA5 03461,102662
ZCTA5 03462,106417
ZCTA5 03464,91786
ZCTA5 03465,79375
ZCTA5 03466,116314
ZCTA5 03467,98684
ZCTA5 03470,73250
ZCTA5 03561,54545
ZCTA5 03570,43972
ZCTA5 03574,83870
ZCTA5 03575,
ZCTA5 03576,51822
ZCTA5 03579,61429
ZCTA5 03580,77283
ZCTA5 03581,61370
ZCTA5 03582,53059
ZCTA5 03583,66711
ZCTA5 03584,92797
ZCTA5 03585,65769
ZCTA5 03586,137500
ZCTA5 03588,71667
ZCTA5 03590,50586
ZCTA5 03592,59000
ZCTA5 03593,95000
ZCTA5 03595,78750
ZCTA5 03597,64688
ZCTA5 03598,63963
ZCTA5 03601,80577
ZCTA5 03602,64605
ZCTA5 03603,55266
ZCTA5 03604,
ZCTA5 03605,84063
ZCTA5 03607,80694
ZCTA5 03608,77244
ZCTA5 03609,69943
ZCTA5 03740,70298
ZCTA5 03741,78523
ZCTA5 03743,54978
ZCTA5 03745,89046
ZCTA5 03748,96335
ZCTA5 03750,218750
ZCTA5 03751,38892
ZCTA5 03752,59583
ZCTA5 03753,113317
ZCTA5 03755,161162
ZCTA5 03765,
ZCTA5 03766,96642
ZCTA5 03768,141719
ZCTA5 03770,148958
ZCTA5 03771,85217
ZCTA5 03773,78073
ZCTA5 03774,53750
ZCTA5 03777,85938
ZCTA5 03779,93393
ZCTA5 03780,145163
ZCTA5 03781,104700
ZCTA5 03782,109185
ZCTA5 03784,84303
ZCTA5 03785,56449
ZCTA5 03801,106520
ZCTA5 03809,92278
ZCTA5 03810,143102
ZCTA5 03811,144481
ZCTA5 03812,
ZCTA5 03813,58299
ZCTA5 03814,74475
ZCTA5 03816,85750
ZCTA5 03817,72788
ZCTA5 03818,73346
ZCTA5 03819,109726
ZCTA5 03820,92793
ZCTA5 03823,144635
ZCTA5 03824,126658
ZCTA5 03825,99706
ZCTA5 03826,110759
ZCTA5 03827,135341
ZCTA5 03830,68304
ZCTA5 03832,75833
ZCTA5 03833,110566
ZCTA5 03835,63704
ZCTA5 03836,71875
ZCTA5 03837,116605
ZCTA5 03838,68050
ZCTA5 03839,86932
ZCTA5 03840,147132
ZCTA5 03841,99268
ZCTA5 03842,94433
ZCTA5 03844,155787
ZCTA5 03845,71667
ZCTA5 03846,89583
ZCTA5 03847,46845
ZCTA5 03848,103665
ZCTA5 03849,96875
ZCTA5 03850,120250
ZCTA5 03851,98750
ZCTA5 03852,
ZCTA5 03853,101958
ZCTA5 03854,193558
ZCTA5 03855,99122
ZCTA5 03856,191625
ZCTA5 03857,94345
ZCTA5 03858,135648
ZCTA5 03860,81771
ZCTA5 03861,140321
ZCTA5 03862,136170
ZCTA5 03864,64744
ZCTA5 03865,109040
ZCTA5 03867,74397
ZCTA5 03868,89000
ZCTA5 03869,82983
ZCTA5 03870,127772
ZCTA5 03871,
ZCTA5 03872,91563
ZCTA5 03873,137813
ZCTA5 03874,87000
ZCTA5 03875,112625
ZCTA5 03878,79691
ZCTA5 03882,77426
ZCTA5 03883,77610
ZCTA5 03884,122083
ZCTA5 03885,141438
ZCTA5 03886,77955
ZCTA5 03887,99868
ZCTA5 03890,
ZCTA5 03894,84660
ZCTA5 03897,
ZCTA5 03901,77790
ZCTA5 03902,131538
ZCTA5 03903,100472
ZCTA5 03904,74551
ZCTA5 03905,138519
ZCTA5 03906,95762
ZCTA5 03907,104250
ZCTA5 03908,97927
ZCTA5 03909,108889
ZCTA5 03910,
ZCTA5 03911,
ZCTA5 04001,75652
ZCTA5 04002,77853
ZCTA5 04003,71250
ZCTA5 04005,71268
ZCTA5 04006,"250,000+"
ZCTA5 04008,104914
ZCTA5 04009,86386
ZCTA5 04010,59291
ZCTA5 04011,74102
ZCTA5 04015,64229
ZCTA5 04017,63750
ZCTA5 04019,85625
ZCTA5 04020,69068
ZCTA5 04021,145833
ZCTA5 04022,65938
ZCTA5 04024,55833
ZCTA5 04027,97257
ZCTA5 04029,71845
ZCTA5 04030,69709
ZCTA5 04032,108864
ZCTA5 04037,52135
ZCTA5 04038,110181
ZCTA5 04039,94284
ZCTA5 04040,58267
ZCTA5 04041,62500
ZCTA5 04042,81250
ZCTA5 04043,101204
ZCTA5 04046,99861
ZCTA5 04047,61250
ZCTA5 04048,90125
ZCTA5 04049,78558
ZCTA5 04050,80625
ZCTA5 04051,72308
ZCTA5 04055,68278
ZCTA5 04056,
ZCTA5 04057,
ZCTA5 04061,83299
ZCTA5 04062,98946
ZCTA5 04063,60594
ZCTA5 04064,66689
ZCTA5 04066,113409
ZCTA5 04068,58333
ZCTA5 04069,103750
ZCTA5 04071,86932
ZCTA5 04072,84328
ZCTA5 04073,69135
ZCTA5 04074,125642
ZCTA5 04076,87560
ZCTA5 04079,87866
ZCTA5 04083,81299
ZCTA5 04084,103086
ZCTA5 04085,88739
ZCTA5 04086,82356
ZCTA5 04087,96268
ZCTA5 04088,65000
ZCTA5 04090,83900
ZCTA5 04091,79500
ZCTA5 04092,85868
ZCTA5 04093,85208
ZCTA5 04095,57188
ZCTA5 04096,107911
ZCTA5 04097,119813
ZCTA5 04101,60726
ZCTA5 04102,79631
ZCTA5 04103,90682
ZCTA5 04105,131833
ZCTA5 04106,83744
ZCTA5 04107,145464
ZCTA5 04108,84120
